|company_name|startup_goa_link|gmap|lat|lng|place_id|formatted_address
10|Appsintegra Technologies|http://startupgoa.org/company/Appsintegra%20Technologies/|||||
11|Appxigo Media|http://startupgoa.org/company/Appxigo%20Media/|||||
12|APY Technologies|http://startupgoa.org/company/APY%20Technologies/|||||
13|AR Solutions|http://startupgoa.org/company/AR%20Solutions/|[{'types': ['establishment', 'point_of_interest'], 'geometry': {'location': {'lat': 15.485296, 'lng': 73.82138499999999}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'southwest': {'lat': 15.4839470197085, 'lng': 73.82003601970848}, 'northeast': {'lat': 15.4866449802915, 'lng': 73.8227339802915}}}, 'address_components': [{'types': ['locality', 'political'], 'long_name': 'Panaji', 'short_name': 'Panaji'}, {'types': ['administrative_area_level_1', 'political'], 'long_name': 'Goa', 'short_name': 'GA'}, {'types': ['country', 'political'], 'long_name': 'India', 'short_name': 'IN'}, {'types': ['postal_code'], 'long_name': '403002', 'short_name': '403002'}], 'place_id': 'ChIJcQ1iWJTAvzsRdB4mrSERCao', 'formatted_address': '13,Dukle Bhavan, Opp. T.B Quarters, Panaji, Goa 403002, India'}]|15.485296|73.82138499999999|ChIJcQ1iWJTAvzsRdB4mrSERCao|13,Dukle Bhavan, Opp. T.B Quarters, Panaji, Goa 403002, India
14|ArkeCode|http://startupgoa.org/company/ArkeCode/|||||
15|Aspirations HR|http://startupgoa.org/company/Aspirations%20HR/|[{'types': ['establishment', 'point_of_interest'], 'geometry': {'location': {'lat': 15.262522, 'lng': 74.10716599999999}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'southwest': {'lat': 15.2611730197085, 'lng': 74.1058170197085}, 'northeast': {'lat': 15.2638709802915, 'lng': 74.1085149802915}}}, 'address_components': [{'types': ['locality', 'political'], 'long_name': 'Curchorem Goa', 'short_name': 'Curchorem Goa'}, {'types': ['administrative_area_level_1', 'political'], 'long_name': 'Goa', 'short_name': 'GA'}, {'types': ['country', 'political'], 'long_name': 'India', 'short_name': 'IN'}, {'types': ['postal_code'], 'long_name': '403706', 'short_name': '403706'}], 'place_id': 'ChIJs4jHwmWsvzsRH-QOyWOLEko', 'formatted_address': '18b,2nd Floor,Santeri Chambers,curchorem Goa, Curchorem Goa, Goa 403706, India'}]|15.262522|74.10716599999999|ChIJs4jHwmWsvzsRH-QOyWOLEko|18b,2nd Floor,Santeri Chambers,curchorem Goa, Curchorem Goa, Goa 403706, India
16|Automatronics|http://startupgoa.org/company/Automatronics/|||||
17|Awign Enterprises Pvt Ltd|http://startupgoa.org/company/Awign%20Enterprises%20Pvt%20Ltd/|[{'types': ['establishment', 'point_of_interest'], 'geometry': {'location': {'lat': 12.9100321, 'lng': 77.6520017}, 'location_type': 'ROOFTOP', 'viewport': {'southwest': {'lat': 12.9086831197085, 'lng': 77.65065271970849}, 'northeast': {'lat': 12.9113810802915, 'lng': 77.65335068029151}}}, 'address_components': [{'types': ['street_number'], 'long_name': '108, 1st floor', 'short_name': '108, 1st floor'}, {'types': ['route'], 'long_name': '27th Main Road', 'short_name': '27th Main Rd'}, {'types': ['neighborhood', 'political'], 'long_name': 'Above Blackberry Showroom', 'short_name': 'Above Blackberry Showroom'}, {'types': ['political', 'sublocality', 'sublocality_level_2'], 'long_name': 'Sector 2', 'short_name': 'Sector 2'}, {'types': ['political', 'sublocality', 'sublocality_level_1'], 'long_name': 'HSR Layout', 'short_name': 'HSR Layout'}, {'types': ['locality', 'political'], 'long_name': 'Bengaluru', 'short_name': 'Bengaluru'}, {'types': ['administrative_area_level_1', 'political'], 'long_name': 'Karnataka', 'short_name': 'KA'}, {'types': ['country', 'political'], 'long_name': 'India', 'short_name': 'IN'}, {'types': ['postal_code'], 'long_name': '560102', 'short_name': '560102'}], 'place_id': 'ChIJwwC1o50UrjsRLT3W3nGyDQM', 'formatted_address': '19th Cross Road, Startuphuts, 108, 1st floor, 27th Main Rd, Above Blackberry Showroom, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India'}]|12.9100321|77.6520017|ChIJwwC1o50UrjsRLT3W3nGyDQM|19th Cross Road, Startuphuts, 108, 1st floor, 27th Main Rd, Above Blackberry Showroom, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India
18|Beard Design|http://startupgoa.org/company/Beard%20Design/|[{'types': ['establishment', 'point_of_interest'], 'geometry': {'location': {'lat': 15.5321189, 'lng': 73.8248118}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'southwest': {'lat': 15.5307699197085, 'lng': 73.82346281970851}, 'northeast': {'lat': 15.5334678802915, 'lng': 73.82616078029152}}}, 'address_components': [{'types': ['locality', 'political'], 'long_name': 'Penha de França', 'short_name': 'Penha de França'}, {'types': ['administrative_area_level_1', 'political'], 'long_name': 'Goa', 'short_name': 'GA'}, {'types': ['country', 'political'], 'long_name': 'India', 'short_name': 'IN'}, {'types': ['postal_code'], 'long_name': '403521', 'short_name': '403521'}], 'place_id': 'ChIJtZvAjRPAvzsRGPH7vynbO0g', 'formatted_address': 'Near O Coquero circle, Alto Porvorim, Penha de França, Goa 403521, India'}, {'types': ['establishment', 'point_of_interest'], 'geometry': {'location': {'lat': 19.013184, 'lng': 72.829026}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'southwest': {'lat': 19.0118350197085, 'lng': 72.8276770197085}, 'northeast': {'lat': 19.0145329802915, 'lng': 72.83037498029151}}}, 'address_components': [{'types': ['locality', 'political'], 'long_name': 'Mumbai', 'short_name': 'Mumbai'}, {'types': ['administrative_area_level_1', 'political'], 'long_name': 'Maharashtra', 'short_name': 'MH'}, {'types': ['country', 'political'], 'long_name': 'India', 'short_name': 'IN'}, {'types': ['postal_code'], 'long_name': '400025', 'short_name': '400025'}], 'place_id': 'ChIJL66iyL_O5zsRYrKvy4w-jSM', 'formatted_address': 'Appasaheb Road, Prabhadevi, Mumbai, Maharashtra 400025, India'}]|15.5321189|73.8248118|ChIJtZvAjRPAvzsRGPH7vynbO0g|Near O Coquero circle, Alto Porvorim, Penha de França, Goa 403521, India
19|Bidchat|http://startupgoa.org/company/Bidchat/|[{'types': ['establishment', 'point_of_interest'], 'geometry': {'location': {'lat': 15.3653181, 'lng': 73.9340438}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'southwest': {'lat': 15.3639691197085, 'lng': 73.93269481970849}, 'northeast': {'lat': 15.3666670802915, 'lng': 73.93539278029151}}}, 'address_components': [{'types': ['political', 'sublocality', 'sublocality_level_1'], 'long_name': 'Verna Industrial Estate', 'short_name': 'Verna Industrial Estate'}, {'types': ['locality', 'political'], 'long_name': 'Verna', 'short_name': 'Verna'}, {'types': ['administrative_area_level_2', 'political'], 'long_name': 'South Goa', 'short_name': 'South Goa'}, {'types': ['administrative_area_level_1', 'political'], 'long_name': 'Goa', 'short_name': 'GA'}, {'types': ['country', 'political'], 'long_name': 'India', 'short_name': 'IN'}, {'types': ['postal_code'], 'long_name': '403722', 'short_name': '403722'}], 'place_id': 'ChIJXfx0nFK3vzsRxJIQPVPzqcQ', 'formatted_address': 'Verna Industrial Estate, Verna, Goa 403722, India'}]|15.3653181|73.9340438|ChIJXfx0nFK3vzsRxJIQPVPzqcQ|Verna Industrial Estate, Verna, Goa 403722, India
