company_name,startup_goa_link
Helix Tech,http://startupgoa.org/company/Helix%20Tech/
Hello Information Services,http://startupgoa.org/company/Hello%20Information%20Services/
Herora Infocom,http://startupgoa.org/company/Herora%20Infocom/
HipBar Pvt. Ltd.,http://startupgoa.org/company/HipBar%20Pvt.%20Ltd./
Hooligan New Media,http://startupgoa.org/company/Hooligan%20New%20Media/
Hypercube Technologies,http://startupgoa.org/company/Hypercube%20Technologies/
Hyperfix,http://startupgoa.org/company/Hyperfix/
i-Flo Technologies,http://startupgoa.org/company/i-Flo%20Technologies/
Idea Bridge,http://startupgoa.org/company/Idea%20Bridge/
Ideus Concepts,http://startupgoa.org/company/Ideus%20Concepts/
IGOA,http://startupgoa.org/company/IGOA/
iGoanHost,http://startupgoa.org/company/iGoanHost/
IIHT,http://startupgoa.org/company/IIHT/
iLingo,http://startupgoa.org/company/iLingo/
Imagefile,http://startupgoa.org/company/Imagefile/
Imagine Works,http://startupgoa.org/company/Imagine%20Works/
Indistrial Design Center, IIT Bombay,http://startupgoa.org/company/Indistrial%20Design%20Center%2C%20IIT%20Bombay/
Infinient,http://startupgoa.org/company/Infinient/
Infipre IT Services OPC Pvt. Ltd.,http://startupgoa.org/company/Infipre%20IT%20Services%20%28OPC%29%20Pvt.%20Ltd./
innGoa,http://startupgoa.org/company/innGoa/
Integrina Technologies Pvt. Ltd.,http://startupgoa.org/company/Integrina%20Technologies%20Pvt.%20Ltd./
Intelligent Legal Risk Management Solutions LLP / iPleaders,http://startupgoa.org/company/Intelligent%20Legal%20Risk%20Management%20Solutions%20LLP%20%2F%20iPleaders/
International Trade Promotion,http://startupgoa.org/company/International%20Trade%20Promotion/
Inventrom,http://startupgoa.org/company/Inventrom/
iTabs,http://startupgoa.org/company/iTabs/
iTechnologix,http://startupgoa.org/company/iTechnologix/
Janota Goa,http://startupgoa.org/company/Janota%20Goa/
Jetway Networks Pvt. Ltd.,http://startupgoa.org/company/Jetway%20Networks%20Pvt.%20Ltd./
Jobs for Goan,http://startupgoa.org/company/Jobs%20for%20Goan/
Jobsoid Inc,http://startupgoa.org/company/Jobsoid%20Inc/
KAAVAY,http://startupgoa.org/company/KAAVAY/
KAAVAY Enterprises Pvt. Ltd.,http://startupgoa.org/company/KAAVAY%20Enterprises%20Pvt.%20Ltd./
Kallows Engineering India,http://startupgoa.org/company/Kallows%20Engineering%20India/
Kallows Engineering India Pvt. Ltd.,http://startupgoa.org/company/Kallows%20Engineering%20India%20Pvt.%20Ltd./
Knowledge Asrham,http://startupgoa.org/company/Knowledge%20Asrham/
Kodework,http://startupgoa.org/company/Kodework/
L & A Tech,http://startupgoa.org/company/L%20%26%20A%20Tech/
LegalRaasta,http://startupgoa.org/company/LegalRaasta/
Leigia Solutions,http://startupgoa.org/company/Leigia%20Solutions/
Letcetra Agritech,http://startupgoa.org/company/Letcetra%20Agritech/
LetsApp,http://startupgoa.org/company/LetsApp/
Lokaso Travel,http://startupgoa.org/company/Lokaso%20Travel/
Matrix Infosystems,http://startupgoa.org/company/Matrix%20Infosystems/
Media Waves Public Relations,http://startupgoa.org/company/Media%20Waves%20Public%20Relations/
MeetOutside,http://startupgoa.org/company/MeetOutside/
Mobiefit Technologies,http://startupgoa.org/company/Mobiefit%20Technologies/
Mobishastra,http://startupgoa.org/company/Mobishastra/
Mobobeat,http://startupgoa.org/company/Mobobeat/
Mrinq Technologies,http://startupgoa.org/company/Mrinq%20Technologies/
Mrinq Technologies LLP,http://startupgoa.org/company/Mrinq%20Technologies%20LLP/
Museum of Goa,http://startupgoa.org/company/Museum%20of%20Goa/
Nanjgel Solutions,http://startupgoa.org/company/Nanjgel%20Solutions/
Nativefolks,http://startupgoa.org/company/Nativefolks/
Nearbuy,http://startupgoa.org/company/Nearbuy/
New Vision,http://startupgoa.org/company/New%20Vision/
Next Big Thing,http://startupgoa.org/company/Next%20Big%20Thing/
Nikola Tech,http://startupgoa.org/company/Nikola%20Tech/
Numadic,http://startupgoa.org/company/Numadic/
OneProject34,http://startupgoa.org/company/OneProject34/
Open Destinations,http://startupgoa.org/company/Open%20Destinations/
OPSPL,http://startupgoa.org/company/OPSPL/
Optessa Solutions Pvt. Ltd.,http://startupgoa.org/company/Optessa%20Solutions%20Pvt.%20Ltd./
Ownism,http://startupgoa.org/company/Ownism/
Ownism Internet Pvt. Ltd,http://startupgoa.org/company/Ownism%20Internet%20Pvt.%20Ltd/
OYO Rooms,http://startupgoa.org/company/OYO%20Rooms/
Parikrama Tech,http://startupgoa.org/company/Parikrama%20Tech/
Parikrama-Tech,http://startupgoa.org/company/Parikrama-Tech/
Parinati Solutions,http://startupgoa.org/company/Parinati%20Solutions/
PATRAO TOURISM,http://startupgoa.org/company/PATRAO%20TOURISM/
Phoenyxus,http://startupgoa.org/company/Phoenyxus/
Photojaanic,http://startupgoa.org/company/Photojaanic/
Pinnacle Themes,http://startupgoa.org/company/Pinnacle%20Themes/
Pixegia Interactive,http://startupgoa.org/company/Pixegia%20Interactive/
Pixegia Interactive LLP,http://startupgoa.org/company/Pixegia%20Interactive%20LLP/
Pixelato,http://startupgoa.org/company/Pixelato/
Planet Earthlings,http://startupgoa.org/company/Planet%20Earthlings/
PlanQube Technologies,http://startupgoa.org/company/PlanQube%20Technologies/
Powersoft Infowave,http://startupgoa.org/company/Powersoft%20Infowave/
PowerStores,http://startupgoa.org/company/PowerStores/
Pratham Education Foundation,http://startupgoa.org/company/Pratham%20Education%20Foundation/
Privail,http://startupgoa.org/company/Privail/
Private Unlimited,http://startupgoa.org/company/Private%20Unlimited/
ProKriya,http://startupgoa.org/company/ProKriya/
Prototyze Services,http://startupgoa.org/company/Prototyze%20Services/
Prudent Bay,http://startupgoa.org/company/Prudent%20Bay/
PTC,http://startupgoa.org/company/PTC/
Quickcompany,http://startupgoa.org/company/Quickcompany/
Rajat Cable Network,http://startupgoa.org/company/Rajat%20Cable%20Network/
Registrations India,http://startupgoa.org/company/Registrations%20India/
Remote Software,http://startupgoa.org/company/Remote%20Software/
Rhizomatic Web Services,http://startupgoa.org/company/Rhizomatic%20Web%20Services/
RITSnet,http://startupgoa.org/company/RITSnet/
rodrandall,http://startupgoa.org/company/rodrandall/
Rovan Technologies,http://startupgoa.org/company/Rovan%20Technologies/
RSSPL,http://startupgoa.org/company/RSSPL/
Rubiq,http://startupgoa.org/company/Rubiq/
Rubiq Solutions,http://startupgoa.org/company/Rubiq%20Solutions/
RZ2 Games,http://startupgoa.org/company/RZ2%20Games/
RZ2TEQ,http://startupgoa.org/company/RZ2TEQ/
SaffronStays.com,http://startupgoa.org/company/SaffronStays.com/
Sagacity Consulting Services,http://startupgoa.org/company/Sagacity%20Consulting%20Services/
Salesforce,http://startupgoa.org/company/Salesforce/
Samasa Innovation Pvt Ltd,http://startupgoa.org/company/Samasa%20Innovation%20Pvt%20Ltd/
Samasa Innovations private limited,http://startupgoa.org/company/Samasa%20Innovations%20private%20limited/
Sammy,http://startupgoa.org/company/Sammy/
Sandbox Infotech,http://startupgoa.org/company/Sandbox%20Infotech/
ScreenRoot,http://startupgoa.org/company/ScreenRoot/
ScreenRoot Technologies Pvt Ltd,http://startupgoa.org/company/ScreenRoot%20Technologies%20Pvt%20Ltd/
Shristi Designs,http://startupgoa.org/company/Shristi%20Designs/
Simplerr,http://startupgoa.org/company/Simplerr/
SINGULERP,http://startupgoa.org/company/SINGULERP/
Skarma,http://startupgoa.org/company/Skarma/
SKT Themes,http://startupgoa.org/company/SKT%20Themes/
Speedon Technologies Pvt. Ltd.,http://startupgoa.org/company/Speedon%20Technologies%20Pvt.%20Ltd./
Splash And Blend,http://startupgoa.org/company/Splash%20And%20Blend/
Srijan Technologies,http://startupgoa.org/company/Srijan%20Technologies/
Srijan Technologies Pvt Ltd,http://startupgoa.org/company/Srijan%20Technologies%20Pvt%20Ltd/
Srijan Technologies Pvt. Ltd.,http://startupgoa.org/company/Srijan%20Technologies%20Pvt.%20Ltd./
Stallion IT,http://startupgoa.org/company/Stallion%20IT/
